,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy
0,0,서울특별시,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,1,서울특별시 종로구,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2,2,서울특별시 종로구 청운동,종로구,청운동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1,체부동,도렴동,소격동,37.577645,126.970877,37.572445,126.975158,37.580122,126.981424
3,3,서울특별시 종로구 신교동,종로구,신교동,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,0,0,0,0,0,1,효자동,옥인동,원남동,37.582416,126.971670,37.582175,126.967275,37.575326,126.997429
4,4,서울특별시 종로구 궁정동,종로구,궁정동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,통인동,권농동,팔판동,37.580141,126.970127,37.575619,126.991498,37.582882,126.980836
5,5,서울특별시 종로구 효자동,종로구,효자동,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,0,0,0,0,0,1,옥인동,원남동,송월동,37.582175,126.967275,37.575326,126.997429,37.569779,126.965760
6,6,서울특별시 종로구 창성동,종로구,창성동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1,종로1가,견지동,경운동,37.570479,126.980434,37.573529,126.983065,37.574538,126.986664
7,7,서울특별시 종로구 통의동,종로구,통의동,0.0,0.0,0.0,0.21,0.0,0.0,0.43,0.0,0.0,0.0,0.65,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,1,0,0,0,2,세종로,효제동,남대문로1가,37.572655,126.976742,37.572859,127.003417,37.567451,126.982976
8,8,서울특별시 종로구 적선동,종로구,적선동,0.0,0.0,0.0,0.0,0.13,0.0,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,0,2,0,0,0,3,인의동,효창동,낙원동,37.573102,126.997921,37.543291,126.961214,37.572558,126.988732
9,9,서울특별시 종로구 통인동,종로구,통인동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,권농동,팔판동,화동,37.575619,126.991498,37.582882,126.980836,37.580693,126.982268
10,10,서울특별시 종로구 누상동,종로구,누상동,0.0,0.0,0.0,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,2,0,0,0,0,3,내수동,남산동1가,신계동,37.573113,126.971819,37.559260,126.984605,37.534581,126.964922
11,11,서울특별시 종로구 누하동,종로구,누하동,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,2,0,0,0,0,2,을지로4가,안암동3가,보문동1가,37.566587,126.998139,37.583915,127.023280,37.586226,127.019779
12,12,서울특별시 종로구 옥인동,종로구,옥인동,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,0,0,0,0,0,1,원남동,송월동,남대문로3가,37.575326,126.997429,37.569779,126.965760,37.561033,126.978259
13,13,서울특별시 종로구 체부동,종로구,체부동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1,도렴동,소격동,장사동,37.572445,126.975158,37.580122,126.981424,37.569411,126.993830
14,14,서울특별시 종로구 필운동,종로구,필운동,0.0,0.0,0.0,0.21,0.27,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,2,0,0,0,0,0,3,묘동,행촌동,공평동,37.572598,126.991715,37.574294,126.962469,37.571692,126.982996
15,15,서울특별시 종로구 내자동,종로구,내자동,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,0,0,0,0,0,2,종로4가,이화동,충신동,37.570618,126.998135,37.577066,127.006358,37.575189,127.006471
16,16,서울특별시 종로구 사직동,종로구,사직동,0.0,0.0,0.0,0.21,0.0,0.12,0.43,0.0,0.0,0.0,0.77,2385.0,2178.0,1996.0,3690,3913,106.0,0,0,0,1,0,1,1,0,0,0,3,회현동2가,용산동5가,당산동2가,37.558033,126.983443,37.527123,126.970830,37.522967,126.892688
17,17,서울특별시 종로구 도렴동,종로구,도렴동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1,소격동,장사동,만리동1가,37.580122,126.981424,37.569411,126.993830,37.556408,126.967319
18,18,서울특별시 종로구 당주동,종로구,당주동,0.0,0.0,0.0,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0.86,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,0,0,1,0,0,0,3,충무로3가,신문로1가,평동,37.562676,126.991874,37.570366,126.973968,37.567121,126.967018
19,19,서울특별시 종로구 내수동,종로구,내수동,0.0,0.0,0.0,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,2,0,0,0,0,3,남산동1가,신계동,서빙고동,37.559260,126.984605,37.534581,126.964922,37.521042,126.993023
