,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,서울종로<b>경찰서</b>,서울특별시 종로구 경운동 90-18,서울특별시 종로구 율곡로 46 종로경찰서,310536,553076,"공공,사회기관>경찰서",,182,http://www.smpa.go.kr/jn/
1,서울혜화<b>경찰서</b>,서울특별시 종로구 인의동 48-57,서울특별시 종로구 창경궁로 112-16,311768,552657,"공공,사회기관>경찰서",,182,http://www.smpa.go.kr/hh/
2,서울종로<b>경찰서</b>종로2가파출소,서울특별시 종로구 종로2가 39-3,서울특별시 종로구 종로17길 4 종로지구대,310881,552515,경찰서>파출소,,,
3,서울종로<b>경찰서</b>관수파출소,서울특별시 종로구 관철동 5-10,서울특별시 종로구 삼일대로 386,310797,552334,경찰서>파출소,,,
4,서울혜화<b>경찰서</b>혜화파출소,서울특별시 종로구 혜화동 92-1,서울특별시 종로구 창경궁로 279,312003,554232,경찰서>파출소,,02-762-0811,
5,서울혜화<b>경찰서</b>대학로파출소,서울특별시 종로구 동숭동 201-10,서울특별시 종로구 이화장2길 33,312404,553398,경찰서>파출소,,02-763-1230,
6,서울종로<b>경찰서</b>효자치안센터,서울특별시 종로구 궁정동 30,서울특별시 종로구 효자로 105,309363,553987,경찰서>치안센터,,,
7,서울혜화<b>경찰서</b>창신파출소,서울특별시 종로구 창신동 23-875,서울특별시 종로구 지봉로13길 20-12,313068,553378,경찰서>파출소,,02-763-4200,
8,서울혜화<b>경찰서</b>효제파출소,서울특별시 종로구 종로6가 238-16,서울특별시 종로구 종로41나길 24-6,312291,552771,경찰서>파출소,,02-762-8485,
9,서울혜화<b>경찰서</b>동묘파출소,서울특별시 종로구 숭인동 242-7,서울특별시 종로구 종로58가길 19,313377,552732,경찰서>파출소,,02-2252-0547,
10,서울혜화<b>경찰서</b>명륜파출소,서울특별시 종로구 명륜1가 27-55,서울특별시 종로구 성균관로 78,311671,554592,경찰서>파출소,,02-762-1120,
11,서울종로<b>경찰서</b>세검정파출소,서울특별시 종로구 홍지동 95-1,서울특별시 종로구 세검정로 226,308227,555820,경찰서>파출소,,,
12,서울혜화<b>경찰서</b>종로3가치안센터,서울특별시 종로구 묘동 59-5,서울특별시 종로구 돈화문로 28,311177,552586,경찰서>치안센터,,,
13,삼청<b>파출소</b>,서울특별시 종로구 소격동 1-1,서울특별시 종로구 삼청로 66 삼청파출소,310207,553733,경찰서>파출소,,,
14,서울종로경찰서종로2가<b>파출소</b>,서울특별시 종로구 종로2가 39-3,서울특별시 종로구 종로17길 4 종로지구대,310881,552515,경찰서>파출소,,,
15,서울종로경찰서관수<b>파출소</b>,서울특별시 종로구 관철동 5-10,서울특별시 종로구 삼일대로 386,310797,552334,경찰서>파출소,,,
