,address,gu,dong,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
0,서울특별시,,,0,0,0,0,0,0,0,0,0,0,0
1,서울특별시 종로구,,,0,0,0,0,0,0,0,0,0,0,0
2,서울특별시 종로구 청운동,종로구,청운동,0,0,0,0,0,1,0,0,0,0,1
3,서울특별시 종로구 신교동,종로구,신교동,0,0,0,0,1,0,0,0,0,0,1
4,서울특별시 종로구 궁정동,종로구,궁정동,0,0,0,0,0,0,0,0,0,0,0
5,서울특별시 종로구 효자동,종로구,효자동,0,0,0,0,1,0,0,0,0,0,1
6,서울특별시 종로구 창성동,종로구,창성동,0,0,0,1,0,0,0,0,0,0,1
7,서울특별시 종로구 통의동,종로구,통의동,0,0,0,1,0,0,1,0,0,0,2
8,서울특별시 종로구 적선동,종로구,적선동,0,0,0,0,1,0,2,0,0,0,3
9,서울특별시 종로구 통인동,종로구,통인동,0,0,0,0,0,0,0,0,0,0,0
10,서울특별시 종로구 누상동,종로구,누상동,0,0,0,1,0,2,0,0,0,0,3
11,서울특별시 종로구 누하동,종로구,누하동,0,0,0,0,0,2,0,0,0,0,2
12,서울특별시 종로구 옥인동,종로구,옥인동,0,0,0,0,1,0,0,0,0,0,1
13,서울특별시 종로구 체부동,종로구,체부동,0,0,0,0,0,1,0,0,0,0,1
14,서울특별시 종로구 필운동,종로구,필운동,0,0,0,1,2,0,0,0,0,0,3
15,서울특별시 종로구 내자동,종로구,내자동,0,0,0,1,1,0,0,0,0,0,2
16,서울특별시 종로구 사직동,종로구,사직동,0,0,0,1,0,1,1,0,0,0,3
17,서울특별시 종로구 도렴동,종로구,도렴동,0,0,0,0,0,1,0,0,0,0,1
18,서울특별시 종로구 당주동,종로구,당주동,0,0,0,2,0,0,1,0,0,0,3
19,서울특별시 종로구 내수동,종로구,내수동,0,0,0,1,0,2,0,0,0,0,3
20,서울특별시 종로구 세종로,종로구,세종로,0,0,0,1,0,0,1,0,0,0,2
21,서울특별시 종로구 신문로1가,종로구,신문로1가,0,0,0,0,2,1,1,0,0,0,4
22,서울특별시 종로구 신문로2가,종로구,신문로2가,0,0,0,0,1,1,0,0,0,0,2
23,서울특별시 종로구 청진동,종로구,청진동,0,0,0,2,2,5,2,0,0,0,11
24,서울특별시 종로구 서린동,종로구,서린동,0,0,0,0,1,1,2,0,0,0,4
25,서울특별시 종로구 수송동,종로구,수송동,0,0,1,3,2,3,3,0,0,0,12
26,서울특별시 종로구 중학동,종로구,중학동,0,0,0,0,1,1,1,0,0,0,3
27,서울특별시 종로구 종로1가,종로구,종로1가,0,0,0,1,0,0,0,0,0,0,1
28,서울특별시 종로구 공평동,종로구,공평동,0,0,0,1,1,1,0,0,0,0,3
29,서울특별시 종로구 관훈동,종로구,관훈동,0,0,0,0,1,4,0,0,0,0,5
30,서울특별시 종로구 견지동,종로구,견지동,0,0,0,1,0,0,0,0,0,0,1
31,서울특별시 종로구 와룡동,종로구,와룡동,0,0,0,1,1,1,0,0,0,0,3
32,서울특별시 종로구 권농동,종로구,권농동,0,0,0,0,0,0,0,0,0,0,0
33,서울특별시 종로구 운니동,종로구,운니동,0,0,0,0,1,1,0,0,0,0,2
34,서울특별시 종로구 익선동,종로구,익선동,0,0,0,1,1,1,0,0,0,0,3
35,서울특별시 종로구 경운동,종로구,경운동,0,0,0,1,0,0,0,0,0,0,1
36,서울특별시 종로구 관철동,종로구,관철동,0,0,0,4,2,2,2,0,0,0,10
37,서울특별시 종로구 인사동,종로구,인사동,0,0,0,1,1,0,1,0,0,0,3
38,서울특별시 종로구 낙원동,종로구,낙원동,0,0,0,2,3,1,0,0,0,0,6
39,서울특별시 종로구 종로2가,종로구,종로2가,0,1,1,1,1,1,2,0,0,0,7
40,서울특별시 종로구 팔판동,종로구,팔판동,0,0,0,0,0,0,0,0,0,0,0
41,서울특별시 종로구 삼청동,종로구,삼청동,0,0,0,0,1,1,1,0,0,0,3
42,서울특별시 종로구 안국동,종로구,안국동,1,0,0,1,0,0,0,0,0,0,2
43,서울특별시 종로구 소격동,종로구,소격동,0,0,0,0,0,1,0,0,0,0,1
44,서울특별시 종로구 화동,종로구,화동,0,0,0,0,0,0,0,0,0,0,0
45,서울특별시 종로구 사간동,종로구,사간동,0,0,0,1,0,0,0,0,0,0,1
46,서울특별시 종로구 송현동,종로구,송현동,0,0,0,0,0,0,0,0,0,0,0
47,서울특별시 종로구 가회동,종로구,가회동,0,0,0,0,1,1,0,0,0,0,2
48,서울특별시 종로구 재동,종로구,재동,0,0,0,0,0,1,1,0,0,0,2
49,서울특별시 종로구 계동,종로구,계동,0,0,0,0,1,1,1,0,0,0,3
50,서울특별시 종로구 원서동,종로구,원서동,0,0,0,0,2,0,0,0,0,0,2
51,서울특별시 종로구 훈정동,종로구,훈정동,0,0,0,0,0,0,0,0,0,0,0
52,서울특별시 종로구 묘동,종로구,묘동,0,0,0,1,2,0,0,0,0,0,3
53,서울특별시 종로구 봉익동,종로구,봉익동,0,0,0,0,0,0,0,0,0,0,0
54,서울특별시 종로구 돈의동,종로구,돈의동,0,0,0,2,0,0,0,0,0,1,3
