,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,<b>롯데시네마</b> 에비뉴엘,서울특별시 중구 소공동 7,서울특별시 중구 남대문로 73 AVENUEL,310248,551821,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
1,<b>롯데시네마</b> 황학,서울특별시 중구 황학동 2545 롯데캐슬 베네치아 1층 1222~4호,서울특별시 중구 청계천로 400 롯데캐슬베네치아,313893,552530,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
2,<b>롯데시네마</b> 용산,서울특별시 용산구 한강로3가 16-9,서울특별시 용산구 청파로 74 전자랜드(본관),308270,548383,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
3,<b>롯데시네마</b> 건대입구,서울특별시 광진구 자양동 227-7,서울특별시 광진구 아차산로 262 더샵스타시티,318294,548884,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
4,<b>롯데시네마</b> 청량리,서울특별시 동대문구 전농동 591-53,서울특별시 동대문구 왕산로 214,316072,553619,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
5,<b>롯데시네마</b> 장안,서울특별시 동대문구 장안동 368-1 아트몰링 장안점,서울특별시 동대문구 답십리로 288 아트몰링 장안점,318251,552604,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
6,<b>롯데시네마</b> 수유,서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308,314049,559721,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
7,<b>롯데시네마</b> 노원,서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 롯데백화점,317345,561847,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
8,<b>롯데시네마</b> 수락산,서울특별시 노원구 상계동 1132-35,서울특별시 노원구 동일로 1660 동일로주유소,316890,564223,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
9,<b>롯데시네마</b> 은평,서울특별시 은평구 진관동 79,서울특별시 은평구 통일로 1050 롯데몰,304693,560075,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
10,<b>롯데시네마</b> 합정,서울특별시 마포구 서교동 490 메세나 폴리스 2층,서울특별시 마포구 양화로 45 메세나폴리스,304178,550465,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
11,<b>롯데시네마</b> 홍대입구,서울특별시 마포구 동교동 166-6 스타피카소 8층,서울특별시 마포구 양화로 176 동교동 스타피카소,305239,551111,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
12,<b>롯데시네마</b> 김포공항,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 77,294521,551958,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
13,<b>롯데시네마</b>가양,서울특별시 강서구 등촌동 73-1,서울특별시 강서구 양천로 476 롯데시네마 가양 4층,298888,551664,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
14,<b>롯데시네마</b> 신도림,서울특별시 구로구 신도림동 360-51 디큐브시티 7층,,302031,545802,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
15,<b>롯데시네마</b> 가산디지털,서울특별시 금천구 가산동 60-8 가산하이힐 쇼핑몰 6~9F,서울특별시 금천구 디지털로10길 9 1동,301982,542284,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
16,<b>롯데시네마</b> 독산,서울특별시 금천구 독산동 291-5,서울특별시 금천구 시흥대로 399,302655,541392,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
17,<b>롯데시네마</b> 영등포,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846 영등포 민자역사 7층,303702,546588,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
18,<b>롯데</b>컬처웍스<b>롯데시네마</b>영등포,서울특별시 영등포구 영등포동 618-609,서울특별시 영등포구 경인로102길 13 시네마동 7~9층(영등포동),303464,546475,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
19,<b>롯데시네마</b> 신림,서울특별시 관악구 신림동 1641-2 포도몰 10층-15층,서울특별시 관악구 신림로 330 PODO Mall,305600,542969,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
20,<b>롯데시네마</b> 서울대입구,서울특별시 관악구 봉천동 862-18,서울특별시 관악구 남부순환로 1820,307508,542628,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
21,<b>롯데시네마</b> 브로드웨이,서울특별시 강남구 논현동 3-1,서울특별시 강남구 도산대로 118,313719,546506,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
22,<b>롯데시네마</b>월드타워,서울특별시 송파구 신천동 29,서울특별시 송파구 올림픽로 300,321062,546145,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
23,<b>롯데시네마</b> 강동,서울특별시 강동구 성내동 44-1,서울특별시 강동구 천호옛길 85 영화관씨네일레븐,322902,548645,"문화,예술>영화관",,1544-8855,http://www.facebook.com/lottecinema.kr
