,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,<b>롯데리아</b> 종각역점,서울특별시 종로구 종로2가 84-8,서울특별시 종로구 종로 68,310531,552458,양식>햄버거,,,http://www.lotteria.com/
1,<b>롯데리아</b>혜화점,서울특별시 종로구 혜화동 111-7,서울특별시 종로구 창경궁로 273,311939,554201,양식>햄버거,,02-741-1956,http://www.lotteria.com/
2,<b>롯데리아</b> 동묘역점,서울특별시 종로구 창신동 326-6,서울특별시 종로구 종로 336,313193,552729,양식>햄버거,,02-764-5333,http://www.lotteria.com/
3,<b>롯데리아</b> 동대문광장점,서울특별시 종로구 창신동 444-14,서울특별시 종로구 종로 286 이스턴호텔,312772,552529,양식>햄버거,,02-742-5747,http://www.lotteria.com/
4,<b>롯데리아</b> 동대문역사문화공원역점,서울특별시 중구 을지로6가 18-130,서울특별시 중구 을지로 255,312446,552042,양식>햄버거,,02-2265-0374,http://www.lotteria.com/
5,<b>롯데리아</b> 소공2호점,서울특별시 중구 소공동 1 롯데백화점 본점 지하 1층,서울특별시 중구 을지로 30 롯데백화점 본점 지하 1층,310279,551986,양식>햄버거,,02-756-7858,http://www.lotteria.com/
6,<b>롯데리아</b> 청구역점,서울특별시 중구 신당동 333-79 1층 성원빌딩 롯데리아 청구역점,서울특별시 중구 다산로 168 성원빌딩,313001,551156,양식>햄버거,,02-2237-5725,http://www.lotteria.com/
7,<b>롯데리아</b>신당역점,서울특별시 중구 신당동 130-20,서울특별시 중구 퇴계로 428-1,313559,551927,양식>햄버거,,02-2233-2930,http://www.lotteria.com/
8,<b>롯데리아</b> 용산역사점,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 55 용산민자역사,308669,548086,양식>햄버거,,02-2012-0430,
9,<b>롯데리아</b> 숙대입구역점,서울특별시 용산구 갈월동 89-9 시티파크타워 1층,서울특별시 용산구 한강대로 283 시티파크타워,309364,549533,양식>햄버거,,02-718-9861,http://www.lotteria.com/
10,<b>롯데리아</b> 서울역사점,서울특별시 용산구 동자동 43-205 109호,서울특별시 용산구 한강대로 405 109호,309244,550726,양식>햄버거,,02-393-9375,http://www.lotteria.com/
11,<b>롯데리아</b> 서울역광장점,서울특별시 용산구 동자동 43-205 101호,서울특별시 용산구 한강대로 405 101호,309354,550746,양식>햄버거,,02-393-8781,
12,<b>롯데리아</b>보광점,서울특별시 용산구 보광동 223-6,서울특별시 용산구 보광로 24 연세안과의원,311865,547636,양식>햄버거,,02-792-9663,
13,<b>롯데리아</b> 후암점,서울특별시 용산구 후암동 27-13,서울특별시 용산구 후암로 54,309836,550330,양식>햄버거,,02-318-1599,
14,<b>롯데리아</b> 용산역사ST점,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 55,308697,548016,양식>햄버거,,02-749-1258,
15,<b>롯데리아</b> 만리점,서울특별시 용산구 서계동 243-2,서울특별시 용산구 만리재로28길 2,308717,550608,양식>햄버거,,02-706-0444,https://homeservice.lotteria.com/RIA/
