,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,<b>CU</b> 명륜성대점,서울특별시 종로구 명륜4가 187,서울특별시 종로구 창경궁로 236 이화빌딩,311776,553859,"생활,편의>편의점",,02-742-7897,http://cu.bgfretail.com/
1,<b>CU</b> 대학로2호점,서울특별시 종로구 명륜4가 46-4,서울특별시 종로구 대명길 21,311916,553923,"생활,편의>편의점",,02-461-4440,http://cu.bgfretail.com/
2,<b>CU</b> 종로1가점,서울특별시 종로구 청진동 146,서울특별시 종로구 종로 19 르메이에르종로타운1,310056,552571,"생활,편의>편의점",,02-2075-5537,http://cu.bgfretail.com/
3,<b>CU</b> 종로5가점,서울특별시 종로구 종로4가 2-8 종로 201,서울특별시 종로구 종로 201 종로 201,311863,552570,"생활,편의>편의점",,02-743-1705,http://cu.bgfretail.com/
4,<b>CU</b> 생산성빌딩점,서울특별시 종로구 적선동 122-1 B1,서울특별시 종로구 새문안로5가길 32,309529,553019,"생활,편의>편의점",,,http://cu.bgfretail.com/
5,<b>CU</b> 광화문D타워점,서울특별시 종로구 청진동 249,서울특별시 종로구 종로3길 17 D타워,309999,552578,"생활,편의>편의점",,02-2251-8145,http://cu.bgfretail.com/
6,<b>CU</b> 종로3가역점,서울특별시 종로구 묘동 204-1,서울특별시 종로구 돈화문로 27,311146,552567,"생활,편의>편의점",,02-766-3337,http://cu.bgfretail.com/
7,<b>CU</b> 마로니에점,서울특별시 종로구 연건동 78-2,서울특별시 종로구 대학로 81,312043,553383,"생활,편의>편의점",,02-743-8249,http://cu.bgfretail.com/
8,<b>CU</b> 서울대의대점,서울특별시 종로구 연건동 28-2,서울특별시 종로구 대학로 103,311903,553676,"생활,편의>편의점",,,
9,<b>CU</b> 광화문광장점,서울특별시 종로구 신문로1가 1-1,서울특별시 종로구 새문안로 103-1,309755,552519,"생활,편의>편의점",,02-722-2456,http://cu.bgfretail.com/
10,<b>CU</b> 동대문역점,서울특별시 종로구 창신동 464-16,서울특별시 종로구 종로46길 5,312830,552577,"생활,편의>편의점",,02-747-8508,http://cu.bgfretail.com/
11,<b>CU</b> 종로K트윈타워점,서울특별시 종로구 중학동 19,서울특별시 종로구 종로1길 50,310065,552996,"생활,편의>편의점",,02-733-6649,http://cu.bgfretail.com/
