,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,중앙<b>고등학교</b>,서울특별시 종로구 계동 1,서울특별시 종로구 창덕궁길 164 중앙고등학교,310717,554027,"교육,학문>고등학교",,02-742-1321,http://www.choongang.hs.kr/
1,동성<b>고등학교</b>,서울특별시 종로구 혜화동 90-7,서울특별시 종로구 대학로 156 동성중고교,312148,554117,"교육,학문>고등학교",,02-3671-9100,http://www.dongsung.hs.kr/
2,대신<b>고등학교</b>,서울특별시 종로구 행촌동 171-1,서울특별시 종로구 사직로 9 대신중고등학교,308508,552872,"교육,학문>고등학교",,02-736-0317,http://www.dae-shin.hs.kr/
3,경신<b>고등학교</b>,서울특별시 종로구 혜화동 5-119,서울특별시 종로구 혜화로 74 경신중고등학교,311898,554912,"교육,학문>고등학교",,02-762-0394,http://kyungshin.hs.kr/
4,경복<b>고등학교</b>,서울특별시 종로구 청운동 89-9,서울특별시 종로구 자하문로28가길 9 경복고등학교,309382,554438,"교육,학문>고등학교",,02-397-5301,http://www.kyungbock.hs.kr/
5,대동세무<b>고등학교</b>,서울특별시 종로구 계동 35 대동세무고등학교,서울특별시 종로구 계동길 84-10 대동세무고등학교,310808,553779,"교육,학문>고등학교",,02-763-1630,http://www.daedong.kr/
6,경기상업<b>고등학교</b>,서울특별시 종로구 청운동 89-3,서울특별시 종로구 자하문로 136,309217,554560,"교육,학문>고등학교",,02-737-6490,http://www.ggc.hs.kr/
7,덕성여자<b>고등학교</b>,서울특별시 종로구 안국동 37-1,서울특별시 종로구 율곡로3길 50 덕성여자고등학교,310367,553315,"교육,학문>고등학교",,02-734-6871,http://www.duksung.hs.kr/
8,상명대<b>학교</b> 사범대학 부속여자<b>고등학교</b>,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20 상명대학교,307826,556191,"교육,학문>고등학교",,02-396-6303,http://sangmyung-agh.sen.hs.kr/
9,서일국제경영<b>고등학교</b>,서울특별시 종로구 창신동 13-80,서울특별시 종로구 지봉로17길 49,313007,553475,"교육,학문>고등학교",,02-763-5863,http://seoil.sen.hs.kr/
10,배화여자<b>고등학교</b>,서울특별시 종로구 필운동 12,서울특별시 종로구 필운대로1길 34 배화여자대학,308935,553424,"교육,학문>고등학교",,02-724-0300,http://www.paiwha.hs.kr/
11,경복<b>고등학교</b>부설 방송통신<b>고등학교</b>,서울특별시 종로구 청운동 89-9,서울특별시 종로구 자하문로28가길 9 경복고등학교,309443,554402,"교육,학문>고등학교",,02-735-3083,
