,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,경신<b>중학교</b>,서울특별시 종로구 혜화동 5-119,서울특별시 종로구 혜화로 74 경신중고등학교,311992,554773,"교육,학문>중학교",,02-762-0388,http://www.ksms.ms.kr/
1,서울대학교 사범대학 부설여자<b>중학교</b>,서울특별시 종로구 동숭동 199-1,서울특별시 종로구 대학로 64 서울사대부속초등학교,312201,553321,"교육,학문>중학교",,02-762-5252,http://www.snu-g.ms.kr/
2,동성<b>중학교</b>,서울특별시 종로구 혜화동 90-7,서울특별시 종로구 대학로 156 동성중고교,312104,554174,"교육,학문>중학교",,02-3671-9116,http://www.sds.ms.kr/
3,청운<b>중학교</b>,서울특별시 종로구 청운동 89-142,서울특별시 종로구 창의문로 51,309331,554605,"교육,학문>중학교",,02-737-0582,http://www.cheong-un.ms.kr/
4,덕성여자<b>중학교</b>,서울특별시 종로구 송현동 34,서울특별시 종로구 율곡로3길 49 덕성여자중학교,310267,553351,"교육,학문>중학교",,02-733-4807,http://www.duksung.ms.kr/
5,배화여자<b>중학교</b>,서울특별시 종로구 필운동 12,서울특별시 종로구 필운대로1길 34 배화여자대학,308951,553532,"교육,학문>중학교",,02-725-6451,http://www.paiwha.ms.kr/
6,중앙<b>중학교</b>,서울특별시 종로구 계동 1,서울특별시 종로구 창덕궁길 164 중앙중학교,310728,554257,"교육,학문>중학교",,02-742-1323,http://www.choongang.ms.kr/
7,대신<b>중학교</b>,서울특별시 종로구 행촌동 171-1,서울특별시 종로구 사직로 9,308517,552900,"교육,학문>중학교",<b>서울특별시 종로구</b> 행촌동 위치.,02-736-0317,http://www.dae-shin.ms.kr/
8,상명대학교 사범대학 부속여자<b>중학교</b>,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20 상명대학교,307851,556133,"교육,학문>중학교",,02-396-6300,http://www.sangmyung-agm.ms.kr/
9,창덕여자<b>중학교</b>,서울특별시 중구 정동 27-3,서울특별시 중구 정동길 22 창덕여자중학교,309150,552119,"교육,학문>중학교",,,http://www.changdeok.ms.kr/
10,장원<b>중학교</b>,서울특별시 중구 신당동 432-35,서울특별시 중구 동호로15길 93-34 장원중학교,312322,550615,"교육,학문>중학교",,02-2238-1181,http://www.jangwon.ms.kr/
11,금호여자<b>중학교</b>,서울특별시 중구 동화동 36-234,서울특별시 중구 청구로 6 금호여중학교,313657,551102,"교육,학문>중학교",,,http://www.kum-ho.ms.kr/
12,덕수<b>중학교</b>,서울특별시 중구 인현동2가 3,서울특별시 중구 마른내로9길 10 덕수중학교,311601,551944,"교육,학문>중학교",,02-2265-9626,http://www.ducksu.ms.kr/
13,한양<b>중학교</b>,서울특별시 중구 을지로7가 2-21,,312814,551964,"교육,학문>중학교",,02-2234-4725,http://www.hanyang.ms.kr/
14,대경<b>중학교</b>,서울특별시 중구 신당동 333-579,서울특별시 중구 매봉18길 109 동산초등학교,313347,551005,"교육,학문>중학교",,02-2235-5158,http://www.daekyeong.ms.kr/
15,환일<b>중학교</b>,서울특별시 중구 만리동2가 218-2,서울특별시 중구 환일길 47,308555,550663,"교육,학문>중학교",,,http://www.hwanil.ms.kr/
16,장충<b>중학교</b>,서울특별시 중구 신당동 432-460,서울특별시 중구 동호로15길 93 장충고등학교 도서관 3동,312389,550574,"교육,학문>중학교",<b>서울특별시 중구</b> 신당동 위치.,02-2233-9990,http://www.jangchung.ms.kr/
17,용강<b>중학교</b>,서울특별시 용산구 이촌동 301-78,서울특별시 용산구 이촌로65가길 91,309654,547068,"교육,학문>중학교",,,http://www.yonggang.ms.kr/
18,선린<b>중학교</b>,서울특별시 용산구 청파동3가 131-2,서울특별시 용산구 원효로97길 33-4 선린인터넷고등학교,308742,549447,"교육,학문>중학교",,02-713-6214,http://www.sunrin.ms.kr/
19,용산<b>중학교</b>,서울특별시 용산구 후암동 1-1623,서울특별시 용산구 두텁바위로 74,310169,549846,"교육,학문>중학교",<b>서울특별시 용산구</b> 용산동 위치.,,http://www.yong-san.ms.kr/
20,한강<b>중학교</b>,서울특별시 용산구 서빙고동 4-1,서울특별시 용산구 녹사평대로 73 한강중학교,311109,547372,"교육,학문>중학교",,02-794-1791,http://www.hangang.ms.kr/
21,성심여자<b>중학교</b>,서울특별시 용산구 원효로4가 1-1,서울특별시 용산구 원효로19길 49,307826,548560,"교육,학문>중학교",,02-3273-4135,http://www.sacredheart.ms.kr/
22,신광여자<b>중학교</b>,서울특별시 용산구 청파동3가 100,서울특별시 용산구 청파로 263 학교법인신광학원,309190,549514,"교육,학문>중학교",<b>서울특별시 용산구</b> 청파동 위치.,,http://www.shinkwang.ms.kr/
23,보성여자<b>중학교</b>,서울특별시 용산구 용산동2가 1-1123,서울특별시 용산구 신흥로3가길 66,310448,549415,"교육,학문>중학교",,,http://www.bosung-g.ms.kr/
24,배문<b>중학교</b>,서울특별시 용산구 서계동 259-3,서울특별시 용산구 효창원로 258 배문중고등학교,308651,550250,"교육,학문>중학교",,,http://www.baemoon.ms.kr/
25,오산<b>중학교</b>,서울특별시 용산구 보광동 168-73,서울특별시 용산구 보광로7길 17,311763,547343,"교육,학문>중학교",,02-799-9400,http://www.os.ms.kr/
26,행당<b>중학교</b>,서울특별시 성동구 행당동 66-3,서울특별시 성동구 왕십리로 189 행당여자중학교,315579,550700,"교육,학문>중학교",,02-2292-2721,http://www.haengdang.ms.kr/
27,광희<b>중학교</b>,서울특별시 성동구 응봉동 193,서울특별시 성동구 독서당로62길 46,314831,550328,"교육,학문>중학교",,02-2298-0251,http://www.kwanghee.ms.kr/
28,옥정<b>중학교</b>,서울특별시 성동구 옥수동 227,서울특별시 성동구 한림말길 11 옥정중학교,312920,549290,"교육,학문>중학교",,02-2297-4604,http://www.okjung.ms.kr/
29,성수<b>중학교</b>,서울특별시 성동구 성수동1가 685-143,서울특별시 성동구 서울숲길 18,315249,549889,"교육,학문>중학교",,02-463-4786,http://www.seongsu.ms.kr/
30,무학<b>중학교</b>,서울특별시 성동구 행당동 322-1,서울특별시 성동구 고산자로 197 무학여자고등학교,314686,551051,"교육,학문>중학교",,02-2298-6141,http://www.muhakg.ms.kr/
31,경수<b>중학교</b>,서울특별시 성동구 성수동2가 268,서울특별시 성동구 뚝섬로13길 22 경수초등학교,316969,549018,"교육,학문>중학교",,02-464-0675,http://www.gsu.ms.kr/
32,마장<b>중학교</b>,서울특별시 성동구 마장동 766-49,서울특별시 성동구 마장로35나길 31,315561,552270,"교육,학문>중학교",,02-2282-2933,http://www.mj.ms.kr/
33,경일<b>중학교</b>,서울특별시 성동구 성수동1가 22-27,서울특별시 성동구 성수일로 27,316121,549445,"교육,학문>중학교",,02-468-0651,http://www.kyungil.ms.kr/
