,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,서울대<b>학교</b> 사범대학 부설<b>초등학교</b>,서울특별시 종로구 이화동 149,서울특별시 종로구 대학로 64 서울사대부속초등학교,312140,553228,"교육,학문>초등학교",,02-768-1500,http://www.snu.es.kr/
1,교동<b>초등학교</b>,서울특별시 종로구 경운동 2,서울특별시 종로구 삼일대로 454 서울경운학교,310820,552995,"교육,학문>초등학교",,02-765-2884,http://www.skyodong.es.kr/
2,효제<b>초등학교</b>,서울특별시 종로구 효제동 255-4,서울특별시 종로구 대학로 12,312132,552791,"교육,학문>초등학교",,02-762-4279,http://www.hyoje.es.kr/
3,창신<b>초등학교</b>,서울특별시 종로구 창신동 128-32,서울특별시 종로구 지봉로 73,313153,553109,"교육,학문>초등학교",,02-763-3160,http://www.chang-shin.es.kr/
4,명신<b>초등학교</b>,서울특별시 종로구 창신동 7-40,서울특별시 종로구 낙산길 250,313121,553691,"교육,학문>초등학교",,02-766-1415,http://www.myungshin.es.kr/
5,재동<b>초등학교</b>,서울특별시 종로구 가회동 210,서울특별시 종로구 북촌로4길 7,310610,553563,"교육,학문>초등학교",,02-763-1812,http://www.jaedong.es.kr/
6,상명대<b>학교</b> 사범대학 부속<b>초등학교</b>,서울특별시 종로구 홍지동 56,서울특별시 종로구 홍지문2길 1 상명초등학교,308049,555911,"교육,학문>초등학교",,02-395-0678,http://www.sangmyung-ae.es.kr/
7,세검정<b>초등학교</b>,서울특별시 종로구 신영동 219-4,서울특별시 종로구 세검정로9길 1,308458,556193,"교육,학문>초등학교",,02-379-3004,http://www.segumjung.es.kr/
8,혜화<b>초등학교</b>,서울특별시 종로구 혜화동 13-1,서울특별시 종로구 혜화로 32,311871,554572,"교육,학문>초등학교",,02-762-6437,http://www.hyehwa-e.seoul.kr/
9,청운<b>초등학교</b>,서울특별시 종로구 청운동 123,서울특별시 종로구 자하문로 105,309183,554247,"교육,학문>초등학교",,02-737-0218,http://www.chungwoon.es.kr/
10,운현<b>초등학교</b>,서울특별시 종로구 운니동 114-7,서울특별시 종로구 삼일대로 460 운현초등학교,310835,553142,"교육,학문>초등학교",,02-765-0895,http://www.unhyun.es.kr/
