,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,해커스어<b>학원</b> 종로캠퍼스,서울특별시 종로구 인사동 43 대일빌딩 4층,서울특별시 종로구 인사동길 12,310728,552672,어학원>토익,,02-502-2000,http://www.hackers.ac/
1,YBM어<b>학원</b> 종로센터,서울특별시 종로구 종로2가 55-1,서울특별시 종로구 종로 104,310888,552460,어학원>토익,,02-2278-0509,http://chongno.ybmedu.com/
2,파고다어<b>학원</b> 종로타워,서울특별시 종로구 관철동 5-13,서울특별시 종로구 청계천로 93,310802,552290,어학원,,02-2274-4000,http://www.pagoda21.com/academy/jongro/main.do?code=81
3,YBM어<b>학원</b>e4U종로센터,서울특별시 종로구 종로2가 56-17,서울특별시 종로구 종로 98,310836,552447,어학원>영어학원,,02-2279-0509,
4,그린컴퓨터아트<b>학원</b> 종로캠퍼스,서울특별시 종로구 관수동 20,서울특별시 종로구 수표로 96 국일관 드림팰리스,310952,552423,"직업,기술학원>컴퓨터",,02-722-2111,http://jongro.greenart.co.kr/
5,대학로바리스타<b>학원</b>,서울특별시 종로구 명륜1가 46-3 주호빌딩 3층,서울특별시 종로구 혜화로 13 주호빌딩 301호,311877,554301,"직업,기술학원>바리스타",,02-765-6570,http://cafe.naver.com/dhrbarista
6,KG인테리어뱅크 디자인<b>학원</b>,서울특별시 종로구 묘동 56 단성사빌딩 6층,서울특별시 종로구 돈화문로 26 단성사빌딩 6층,311184,552577,"직업,기술학원",,02-3672-4500,http://www.loveinteriorbank.co.kr/
7,시사중국어<b>학원</b> 종로캠퍼스,서울특별시 종로구 관철동 16-2,서울특별시 종로구 종로12길 6,310587,552443,어학원>중국어학원,,02-739-9582,http://www.chinasisa.com
8,시사일본어<b>학원</b> 종로캠퍼스,서울특별시 종로구 관철동 16-1,서울특별시 종로구 종로12길 6,310590,552443,어학원>일본어학원,,02-737-1582,http://www.japansisa.com/
9,한솔요리<b>학원</b> 종로점,"서울특별시 종로구 종로2가 71-2 종로빌딩 6,7,8,10층","서울특별시 종로구 삼일대로 395 종로빌딩 6,7,8,10층",310742,552458,학원>요리학원,,02-725-3300,http://jr-hscook.com
10,종로신중성어<b>학원</b>,서울특별시 종로구 관철동 45-1 대왕빌딩 5층,서울특별시 종로구 우정국로2길 21 대왕빌딩 5층,310471,552430,어학원>프랑스어학원,,02-733-8279,http://www.shinjs.com
11,이젠아카데미컴퓨터<b>학원</b> 종로캠퍼스,서울특별시 종로구 종로2가 75-9,서울특별시 종로구 종로 78 미려빌딩 6층 이젠아카데미컴퓨터학원,310626,552455,"직업,기술학원>컴퓨터",,02-733-8781,http://jr.ezenac.co.kr/
12,하이미디어컴퓨터<b>학원</b> 종로캠퍼스,서울특별시 종로구 인사동 43 대일빌딩 7층,서울특별시 종로구 인사동길 12 대일빌딩,310735,552671,"직업,기술학원>컴퓨터",,02-723-0008,http://jongro.himedia.co.kr/
13,차이나로중국어<b>학원</b>,"서울특별시 종로구 견지동 110 대성스카이렉스 3, 4층",서울특별시 종로구 삼봉로 95 종로1가 대성스카이렉스,310325,552711,어학원>중국어학원,,02-733-0123,http://www.chinaro.com/
14,펠리스스페인어<b>학원</b> 종로캠퍼스,서울특별시 종로구 관철동 13-13 코아빌딩 9층,서울특별시 종로구 종로12길 15 코아빌딩1,310610,552378,어학원,,02-722-8444,http://www.felizspanish.com/
15,박문각종로고시<b>학원</b>,서울특별시 종로구 관수동 20 국일관 3층,서울특별시 종로구 수표로 96 국일관드림펠리스,310961,552424,"직업,기술학원>고시,공무원",,02-733-2288,http://www.jpgosi.com/
16,메이크업포에버아카데미 서울<b>학원</b>,서울특별시 종로구 청진동 246,서울특별시 종로구 종로3길 17 D타워 로비 층,309999,552578,"직업,기술학원>미용",,02-3438-5440,http://pf.kakao.com/_TxcRxhxd
