번호	지역	상호	주소	기간	상표	셀프여부	고급휘발유	휘발유	경유	실내등유
A0006039	서울 강남구	(주)동하힐탑셀프주유소	서울 강남구 논현로 640	2019년 10월 4주	SK에너지	셀프	1800.57	1648.57	1495.00	0.00
A0000525	서울 강남구	(주)만정에너지	서울 강남구 봉은사로 433 (삼성동)	2019년 10월 4주	GS칼텍스	일반	2289.00	1999.00	1899.00	1399.00
A0001219	서울 강남구	(주)보성 세곡주유소	서울특별시 강남구  헌릉로 731 (세곡동)	2019년 10월 4주	SK에너지	셀프	0.00	1548.00	1405.00	0.00
A0009061	서울 강남구	(주)선진도곡주유소	서울 강남구 도곡로 162 (도곡동)	2019년 10월 4주	S-OIL	일반	1797.00	1639.00	1499.00	0.00
A0001217	서울 강남구	(주)소모에너지엔테크놀러지 쎈트럴주유소	서울 강남구 삼성로 335 (대치동)	2019년 10월 4주	GS칼텍스	일반	2128.86	1990.86	1790.86	1336.00
A0009838	서울 강남구	GS칼텍스(주)직영 산성주유소	서울 강남구 헌릉로 730 (세곡동)	2019년 10월 4주	GS칼텍스	셀프	0.00	1567.00	1423.00	0.00
A0010235	서울 강남구	SK네트웍스(주) 매봉주유소	서울 강남구 언주로 307	2019년 10월 4주	SK에너지	셀프	1895.00	1695.00	1572.71	0.00
A0009710	서울 강남구	SK논현주유소	서울 강남구 논현로 747 (논현동)	2019년 10월 4주	SK에너지	일반	2148.00	1948.00	1813.00	1350.00
A0010207	서울 강남구	SK서광주유소	서울 강남구 역삼로 142 (역삼동)	2019년 10월 4주	SK에너지	셀프	1795.00	1625.00	1485.00	0.00
A0010236	서울 강남구	SK에너지㈜ 진달래주유소	서울 강남구 도곡로 208	2019년 10월 4주	SK에너지	일반	1775.00	1635.00	1495.00	0.00
A0009715	서울 강남구	㈜새서울석유 새서울주유소	서울 강남구 압구정로 154	2019년 10월 4주	현대오일뱅크	일반	2037.00	1798.00	1649.00	1328.00
A0001171	서울 강남구	갤러리아주유소	서울 강남구 압구정로 426 (청담동)	2019년 10월 4주	SK에너지	일반	2284.00	1996.57	1892.43	0.00
A0001176	서울 강남구	경원주유소	서울 강남구 도산대로 428 (청담동)	2019년 10월 4주	S-OIL	일반	2276.00	1989.00	1885.00	0.00
A0001214	서울 강남구	금성주유소	서울 강남구 테헤란로 619 (삼성동)	2019년 10월 4주	SK에너지	일반	2189.00	1999.00	1884.14	0.00
