dong,high_oil,oil,oil2
가락동,1852.7150000000001,1615.5700000000002,1486.035
가리봉동,,1579.0,1377.0
가산동,,1496.43,1346.43
가양동,1742.0,1543.6075,1395.1775
갈월동,2249.0,1999.0,1899.0
갈현동,,1593.43,1430.29
강일동,,1628.0,1498.0
개봉동,,1542.5,1391.7849999999999
개포동,2045.0,1801.0700000000002,1625.0700000000002
개화동,,1497.0,1337.0
거여동,,1592.0,1441.2849999999999
경운동,,1999.0,1899.0
고척동,,1530.855,1375.855
공덕동,,1898.0,1765.0
공릉동,1736.0,1550.0716666666667,1406.5716666666667
공항동,,1561.71,1407.21
광장동,1768.785,1556.5,1399.64
구로동,1755.71,1637.8244444444442,1464.8877777777775
구의동,,1591.0,1461.355
군자동,,1542.0,1373.0
궁동,,1498.0,1339.0
금호동4가,,1770.0,1620.0
길동,2268.0,1993.0,1797.0
길음동,1749.0,1548.5,1404.5
남가좌동,,1538.36,1378.36
남대문로5가,2430.86,2278.0,2087.0
남현동,,1586.145,1446.145
내곡동,1771.7849999999999,1638.57,1482.57
내발산동,1718.0,1488.4733333333334,1362.8100000000002
노량진동,,1583.29,1453.29
녹번동,1723.4250000000002,1582.86,1443.8133333333333
논현동,2074.8575,1874.5,1725.215
능동,1739.0,1515.7150000000001,1355.14
답십리동,,1536.5,1386.5
당산동,2029.0,1911.43,1780.0
당산동1가,1749.0,1550.43,1430.43
대림동,,1531.5,1379.0
대방동,1728.57,1552.57,1422.57
대신동,2199.0,1999.0,1836.0
대치동,2043.9533333333336,1864.62,1705.9533333333331
대흥동,2192.0,1699.0,1542.0
도곡동,1884.4,1698.284,1548.714
도림동,,1509.0,1339.0
도봉동,1688.0,1621.6075,1476.5
도선동,,1576.57,1419.43
도화동,,1989.0,1799.0
독산동,,1561.7383333333335,1417.9766666666667
동자동,2390.0,2090.0,1890.0
둔촌동,1887.0700000000002,1637.0700000000002,1487.0700000000002
등촌동,,1545.57,1403.3575
마곡동,1769.0,1536.2849999999999,1383.2849999999999
마장동,,1571.8066666666666,1420.8566666666666
마천동,,1542.645,1394.5700000000002
망우동,,1522.3333333333333,1374.3333333333333
