gu total catch percent
종로구 3690 3913 106.0
중구 4030 2679 66.5
용산구 3411 2543 74.6
성동구 2457 1787 72.7
광진구 3915 2789 71.2
동대문구 3680 2968 80.7
중랑구 4288 3222 75.1
성북구 3042 2277 74.9
강북구 3437 2743 79.8
도봉구 2249 1676 74.5
노원구 4007 2725 68.0
은평구 3590 2863 79.7
서대문구 2802 2016 71.9
마포구 5172 3569 69.0
양천구 3515 2459 70.0
강서구 4629 3469 74.9
구로구 4810 3338 69.4
금천구 3293 2567 78.0
영등포구 5840 3922 67.2
동작구 3100 2090 67.4
관악구 5026 3653 72.7
서초구 4726 3183 67.4
강남구 7513 5196 69.2
송파구 5807 4051 69.8
강동구 3919 2789 71.2
