,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,<b>메가박스</b> 동대문,서울특별시 중구 을지로6가 18-220,서울특별시 중구 장충단로 247 굿모닝시티 쇼핑몰,312493,552061,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1003
1,<b>메가박스</b> 군자,서울특별시 광진구 군자동 477-12,서울특별시 광진구 능동로 289,318769,550800,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1431
2,<b>메가박스</b> 상봉,서울특별시 중랑구 상봉동 130-170,서울특별시 중랑구 망우로30길 3 안산빌딩,318491,554941,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1311
3,<b>메가박스</b> 창동,서울특별시 도봉구 창동 715-14,서울특별시 도봉구 도봉로 558,315378,561802,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1321
4,<b>메가박스</b> 은평,서울특별시 은평구 불광동 304-2 파라제페빌딩 5~8층,서울특별시 은평구 통일로 830 파레제페빌딩,305104,557839,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1221
5,<b>메가박스</b> 신촌,서울특별시 서대문구 신촌동 74-12 밀리오레 5층,서울특별시 서대문구 신촌역로 30 신촌민자역사,306734,551348,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1202
6,<b>메가박스</b>상암,서울특별시 마포구 성산동 515,,302857,552456,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1211
7,<b>메가박스</b> 홍대,서울특별시 마포구 동교동 160-4,서울특별시 마포구 양화로 147,304957,550975,"문화,예술>영화관",,,
8,<b>메가박스</b> 목동,서울특별시 양천구 목동 917-6 행복한세상백화점 6층,서울특별시 양천구 목동동로 309 중소기업유통센터,300853,548021,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1581
9,<b>메가박스</b> 마곡,서울특별시 강서구 마곡동 797-2,서울특별시 강서구 공항대로 247 퀸즈파크나인,297269,551435,"문화,예술>영화관",,1544 - 0070,
10,<b>메가박스</b> 화곡,서울특별시 강서구 화곡동 1073-10,서울특별시 강서구 화곡로 142 메가스퀘어 4층,297475,549346,"문화,예술>영화관",,1544-0070,
11,<b>메가박스</b> 이수,서울특별시 동작구 사당1동 147-53 골든 시네마타워 7층,서울특별시 동작구 동작대로 89 골든시네마타워,310139,542995,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1561
12,아트나인,서울특별시 동작구 사당동 147-53 골든 시네마타워 12층,서울특별시 동작구 동작대로 89 골든시네마타워,310137,542975,"문화,예술>영화관",,1544-0070,
13,<b>메가박스</b> 강남,서울특별시 서초구 서초동 1317-18,서울특별시 서초구 서초대로77길 3 아라타워,314112,544453,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1372
14,<b>메가박스</b>센트럴,서울특별시 서초구 반포동 19-3 센트럴시티,서울특별시 서초구 신반포로 176 센트럴시티,312054,545193,"문화,예술>영화관",,1544-0070,
15,<b>메가박스</b>코엑스,서울특별시 강남구 삼성동 159,서울특별시 강남구 봉은사로 524,316991,546030,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/?menuId=theater-detail&region=10&cinema=1351
16,<b>메가박스</b> 씨티,서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422,314157,544689,"문화,예술>영화관",,1544-0070,http://www.megabox.co.kr/
17,<b>메가박스</b> 송파 파크하비오,서울특별시 송파구 문정동 618 파크하비오 204동 지하1층 메가박스,서울특별시 송파구 송파대로 111 204동 지하1층 메가박스,322711,542592,"문화,예술>영화관",,1544-0070,
18,<b>메가박스</b> 강동,서울특별시 강동구 성내동 549-1,서울특별시 강동구 성내로 48,322876,547733,"문화,예술>영화관",,1544-0070,
