,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,<b>CGV</b> 피카디리1958,서울특별시 종로구 돈의동 137,서울특별시 종로구 돈화문로5가길 1 피카디리플러스,311093,552572,"문화,예술>영화관",,1544-1122,http://cgv.co.kr/theaters/?areacode=01&theaterCode=0223
1,<b>CGV</b> 대학로,서울특별시 종로구 명륜2가 41-9,서울특별시 종로구 대명길 28 대학로CGV,311863,553943,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0063&date=20140707
2,<b>CGV</b> 명동,서울특별시 중구 명동2가 83-5,서울특별시 중구 명동길 14 Noon Square,310366,551736,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0009&date=20140707
3,<b>CGV</b> 명동역,"서울특별시 중구 충무로2가 65-9 하이해리엇 10, 11층",서울특별시 중구 퇴계로 123 하이해리엇,310558,551504,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0105&date=20140707
4,<b>CGV</b> 동대문,서울특별시 중구 을지로6가 17-2,서울특별시 중구 장충단로13길 20,312549,552337,"문화,예술>영화관",,1544-1122,
5,<b>CGV</b> 용산아이파크몰,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 55 현대아이파크몰 6층,308735,548074,"문화,예술>영화관",,1544-1122,
6,<b>CGV</b> 왕십리,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,315220,551547,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0074&date=20140707
7,<b>CGV</b> 강변,서울특별시 광진구 구의동 546-4 테크노마트 10층,서울특별시 광진구 광나루로56길 85 테크노-마트21,320281,548509,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0001&date=20140707
8,<b>CGV</b> 건대입구,서울특별시 광진구 자양동 9-4,서울특별시 광진구 아차산로30길 26,317739,549035,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/
9,<b>CGV</b> 상봉,서울특별시 중랑구 상봉동 501,서울특별시 중랑구 상봉로 131 상봉 듀오트리스 주상복합,320044,555374,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/
10,<b>CGV</b> 성신여대입구,서울특별시 성북구 동선동1가 1-2 10층~12층,서울특별시 성북구 동소문로 106 유타,313408,554937,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0083&date=20140707
11,<b>CGV</b> 미아,서울특별시 강북구 미아동 35-4,서울특별시 강북구 도봉로 34 트레지오빌딩,314622,557095,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0057&date=20140707
12,<b>CGV</b> 수유,서울특별시 강북구 수유동 168-12,서울특별시 강북구 도봉로 399,314576,560456,"문화,예술>영화관",,1544-1122,
13,<b>CGV</b>방학점 (2020년예정),서울특별시 도봉구 방학동  707-14,서울특별시 도봉구 도봉로 684 국민건강보험도봉지사,315810,562998,"문화,예술>영화관",,,
14,<b>CGV</b> 하계,서울특별시 노원구 중계동 506-1 중계동 건영백화점 B1층,서울특별시 노원구 섬밭로 258 건영백화점,317656,559994,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/
15,<b>CGV</b> 중계,서울특별시 노원구 중계동 509-2 홈플러스중계점 9F,서울특별시 노원구 동일로204가길 12 홈플러스중계점 9F,318008,560119,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/
16,<b>CGV</b> 불광,서울특별시 은평구 대조동 240 팜스퀘어 11층,서울특별시 은평구 불광로 20 팜스퀘어 11층,305644,556926,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0030&date=20140707
17,<b>CGV</b> 신촌아트레온,서울특별시 서대문구 창천동 20-25,서울특별시 서대문구 신촌로 129 아트레온,306570,551018,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0150&date=20140707
18,<b>CGV</b> 홍대,서울특별시 마포구 동교동 159-12,서울특별시 마포구 양화로 153 토로스 쇼핑타워,305007,551018,"문화,예술>영화관",,1544-1122,
19,<b>CGV</b> 목동,서울특별시 양천구 목동 916,서울특별시 양천구 목동동로 257 현대하이페리온,300808,547796,"문화,예술>영화관",,1544-1122,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0011&date=20140707
