,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,<b>맥도날드</b> 종로3가점,서울특별시 종로구 종로3가 10,서울특별시 종로구 종로 115,311020,552520,양식>햄버거,,,http://www.mcdonalds.co.kr/
1,<b>맥도날드</b> 대학로점,서울특별시 종로구 동숭동 1-34,서울특별시 종로구 대학로 130 맥도널드,312061,553878,양식>햄버거,,,http://www.mcdonalds.co.kr/
2,<b>맥도날드</b> 서울동묘역점,서울특별시 종로구 창신동 290,서울특별시 종로구 종로 339,313201,552784,양식>햄버거,,,
3,<b>맥도날드</b> 성균관대점,서울특별시 종로구 명륜2가 197-1,서울특별시 종로구 창경궁로 241-1 김해만치과의원,311778,553935,양식>햄버거,,,
4,<b>맥도날드</b> 안국역점,서울특별시 종로구 안국동 164,서울특별시 종로구 율곡로 45,310488,553163,양식>햄버거,,,http://www.mcdonalds.co.kr/
5,<b>맥도날드</b> 서울시청점,서울특별시 중구 을지로1가 32,서울특별시 중구 남대문로9길 51 효덕빌딩,310034,552120,양식>햄버거,,,http://www.mcdonalds.co.kr/
6,<b>맥도날드</b> 명동점,서울특별시 중구 명동1가 48-2,서울특별시 중구 명동7길 8,310485,551818,양식>햄버거,,,http://www.mcdonalds.co.kr/
7,<b>맥도날드</b> 명동2호점,서울특별시 중구 회현동3가 1-5,"서울특별시 중구 퇴계로 116-1 삼영빌딩 1,2,3층",310493,551418,양식>햄버거,,,http://www.mcdonalds.co.kr/
8,<b>맥도날드</b> 이태원점,서울특별시 용산구 이태원동 56-21,서울특별시 용산구 이태원로 142-1,310911,548461,양식>햄버거,,,http://www.mcdonalds.co.kr/
9,<b>맥도날드</b> 서울역점,서울특별시 용산구 동자동 43-205 서울역 2F,서울특별시 용산구 한강대로 405 서울역(철도역),309233,550727,양식>햄버거,,,
10,<b>맥도날드</b> 왕십리점,서울특별시 성동구 행당동 286-3,서울특별시 성동구 왕십리로 321,314816,551553,양식>햄버거,,,http://www.mcdonalds.co.kr/
11,<b>맥도날드</b> 한양대점,서울특별시 성동구 행당동 31-7,서울특별시 성동구 왕십리로 227 대혜빌딩,315548,550994,양식>햄버거,,,http://www.mcdonalds.co.kr/
12,<b>맥도날드</b> 어린이대공원점,서울특별시 광진구 화양동 212,서울특별시 광진구 광나루로 392,318296,549862,양식>햄버거,,02-461-3645,http://www.mcdonalds.co.kr/
13,<b>맥도날드</b> 구의역점,서울특별시 광진구 자양2동 216-11,서울특별시 광진구 아차산로 376 올림피아드학원,319288,548654,양식>햄버거,,,http://www.mcdonalds.co.kr/
14,<b>맥도날드</b> 장안사거리점,서울특별시 동대문구 장안동 308-4,서울특별시 동대문구 답십리로 291-1,318278,552661,양식>햄버거,,,
15,<b>맥도날드</b> 전농점,서울특별시 동대문구 전농동 295-96,서울특별시 동대문구 전농로16길 8,316972,553294,양식>햄버거,,,http://www.mcdonalds.co.kr/
16,<b>맥도날드</b> 한국외대점,서울특별시 동대문구 이문동 305-2,서울특별시 동대문구 휘경로 13,317335,555278,양식>햄버거,,,
17,<b>맥도날드</b> 중랑점,서울특별시 중랑구 상봉2동 130-166,서울특별시 중랑구 망우로 202 동성빌딩,318552,554992,양식>햄버거,,,http://www.mcdonalds.co.kr/
18,<b>맥도날드</b> 신내점,서울특별시 중랑구 신내동 666,서울특별시 중랑구 봉화산로 194 신아타운,320294,556424,양식>햄버거,,,http://www.mcdonalds.co.kr/
19,<b>맥도날드</b> 상봉E마트점,서울특별시 중랑구 망우동 506-1,서울특별시 중랑구 상봉로 118 E-마트 상봉점,320147,555344,양식>햄버거,,,http://www.mcdonalds.co.kr/
20,<b>맥도날드</b> 종암 SK점,서울특별시 성북구 종암동 10-15,서울특별시 성북구 종암로 58,315061,555273,양식>햄버거,,,
21,<b>맥도날드</b> 안암점,서울특별시 성북구 안암동5가 102-33,서울특별시 성북구 고려대로24길 42 방주빌딩,314468,554019,양식>햄버거,,,http://www.mcdonalds.co.kr/
22,<b>맥도날드</b> 삼선교점,서울특별시 성북구 동소문동1가 32-3,서울특별시 성북구 동소문로 13 일화빌딩,312554,554587,양식>햄버거,,,http://www.mcdonalds.co.kr/
