,title,address,roadAddress,mapx,mapy,category,description,telephone,link
0,<b>미니스톱</b> 종로삼일점,서울특별시 종로구 관철동 11-3,서울특별시 종로구 종로14길 32 1층,310694,552302,"생활,편의>편의점",,1577-9621,http://www.ministop.co.kr/
1,<b>미니스톱</b> 종로충신점,서울특별시 종로구 충신동 52-2,서울특별시 종로구 율곡로 235,312312,553095,"생활,편의>편의점",,1577-9621,http://www.ministop.co.kr/
2,<b>미니스톱</b> 청계센터점,서울특별시 종로구 관철동 43-8,서울특별시 종로구 청계천로 61 관철동 빌딩,310479,552339,"생활,편의>편의점",,1577-9621,
3,<b>미니스톱</b> 종각중앙점,서울특별시 종로구 견지동 110,서울특별시 종로구 삼봉로 95 종로1가 대성 스카이렉스,310323,552711,"생활,편의>편의점",,1577-9621,
4,<b>미니스톱</b> 동대문역점,서울특별시 종로구 창신동 154-1,서울특별시 종로구 종로 313-1,312975,552692,"생활,편의>편의점",,02-745-3206,http://www.ministop.co.kr/
5,<b>미니스톱</b> 세종문화회관점,서울특별시 종로구 당주동 2-2,서울특별시 종로구 새문안로5가길 3-1,309595,552754,"생활,편의>편의점",,,http://www.ministop.co.kr/
6,<b>미니스톱</b> 인왕산파크점,서울특별시 종로구 무악동 60,서울특별시 종로구 통일로18길 9,308012,553221,"생활,편의>편의점",,02-734-8256,http://www.ministop.co.kr/
7,<b>미니스톱</b> 경희궁점,서울특별시 종로구 내수동 72,서울특별시 종로구 사직로8길 34 경희궁의아침 3단지,309440,552849,"생활,편의>편의점",,1577-9621,
8,<b>미니스톱</b> 종로북촌점,서울특별시 종로구 계동 115-1,서울특별시 종로구 북촌로4길 27,310693,553503,"생활,편의>편의점",,1577-9621,http://www.ministop.co.kr/
9,<b>미니스톱</b> 종로육의전점,서울특별시 종로구 낙원동 200-4,서울특별시 종로구 수표로 105 육의전빌딩,310913,552531,"생활,편의>편의점",,02-747-1772,http://www.ministop.co.kr/
10,<b>미니스톱</b> 종로6가점,서울특별시 종로구 종로6가 247-1,서울특별시 종로구 종로41길 3,312440,552603,"생활,편의>편의점",,02-742-3836,
